time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.215403796417,0.327275361937,11.7463356095,0.106664505516,0.104157421297,0.0,-0.591428983507,0.812449724893,2.50829875137,0.0836220708689,0.138591809407,0.0,493.60871520322166,495.1213335814554,494.0755408705089,495.0420496340526
1.3800000000000008,-0.252870989675,0.378011387208,11.8977015737,0.112047624083,0.112798446418,0.0,-0.658252129714,0.879196536119,2.53698793562,0.0997394643589,0.153101658492,0.0,422.2966776814076,423.5667541617437,422.18820216634344,423.5835886549938
1.4400000000000008,-0.29411910493,0.432464614845,12.0473627909,0.118189628397,0.12188476428,0.0,-0.717394298353,0.936358964749,2.45173534598,0.107158505936,0.147890690689,0.0,384.5388088044978,384.0703810861227,382.5901666048725,383.3067957762358
1.5000000000000009,-0.340383443277,0.491710313886,12.2024992172,0.124522771577,0.130159110535,0.0,-0.825799122531,1.0391918125,2.71854684074,0.102132453866,0.0910840018835,0.0,498.9247422966388,494.7735715095803,496.85581174640333,496.4956555261024
1.560000000000001,-0.392256490781,0.556242357596,12.365375935,0.130639797988,0.135305276816,0.0,-0.90377015055,1.11237331458,2.71050402337,0.101584208269,0.0721664565934,0.0,413.7842951699223,412.12206847099986,413.18599663076566,413.1475312913743
1.620000000000001,-0.449950703063,0.62627810125,12.5353731644,0.136994154449,0.139346561687,0.0,-1.01980823643,1.22279744636,2.95517527699,0.113382742843,0.0553919956446,0.0,494.24670673303893,493.0117057930634,491.26366138679975,492.1462942159985
1.680000000000001,-0.51456773301,0.702958785225,12.7190319714,0.143387801018,0.142689717218,0.0,-1.13440902329,1.33388885776,3.16592634682,0.0872329756262,0.0563656277273,0.0,485.00494431355446,485.07988017933445,485.1395040850205,483.1806794623438
1.740000000000001,-0.586209398216,0.786509445054,12.9157419163,0.148873286328,0.145947923124,0.0,-1.25395412122,1.45163236309,3.39012951616,0.0987059557545,0.0498241184229,0.0,490.0668807333463,489.5820535101642,490.24283146488204,491.10070091106047
1.8000000000000012,-0.664480560329,0.876622091347,13.1216782525,0.155548316817,0.14897031506,0.0,-1.35535133978,1.55266744177,3.47388957384,0.128783309637,0.0514489739381,0.0,450.1139612473181,450.24701238364497,447.7007062427798,450.15173933788094
1.8600000000000012,-0.749206766741,0.973248263704,13.3346071034,0.162676308399,0.151907761109,0.0,-1.46911620132,1.66891131418,3.62292040221,0.0719408613077,0.0434418806053,0.0,470.9185056687904,470.3000231767753,473.5647202680669,469.1819637973683
1.9200000000000013,-0.840401689313,1.07653246026,13.5537063264,0.166652106421,0.154633547565,0.0,-1.57094937956,1.77420001055,3.67995453301,0.0513981681388,0.0491343451647,0.0,443.1400109225709,443.60892991836,445.1338643487613,443.4526332003901
1.9800000000000013,-0.93810535569,1.18655761016,13.7783385002,0.169738195416,0.157079450165,0.0,-1.68607618936,1.89348366366,3.80708775988,0.0515079867945,0.0133773811235,0.0,467.9888322478043,465.1977699391049,467.0653218064116,467.07544323156577
2.0400000000000014,-1.04225539972,1.30324857633,14.0073938698,0.17247225532,0.158326165604,0.0,-1.78569080803,1.9963991937,3.82782028277,0.0297442465308,0.0325247507984,0.0,433.7653720386605,435.3705286812973,435.09696587975424,433.2720702781895
2.1000000000000014,-1.15265245334,1.42640374208,14.2391351894,0.174067147684,0.160173626786,0.0,-1.89437182091,2.10881348676,3.89643339962,0.0193581756239,0.0270768827665,0.0,450.9305367853045,450.49049699923756,450.75246911382374,449.9124147460619
2.1600000000000015,-1.26979682241,1.55651595594,14.47608726,0.17495651659,0.162578093828,0.0,-2.01060843487,2.22820873189,4.00136177027,0.00371251736327,0.0580633401098,0.0,461.0724547272011,463.5149632445292,464.15808924898545,462.92838285366804
2.2200000000000015,-1.39440280303,1.69423999816,14.7218486025,0.174944513018,0.165942920319,0.0,-2.1432110755,2.36237048713,4.18969380031,-0.00947522010915,0.0517881647572,0.0,490.0941330383061,489.6292693520857,489.43681366551976,488.4542411027265
2.2800000000000016,-1.5268938617,1.83983173533,14.9779730813,0.174429959996,0.169043742285,0.0,-2.27340903423,2.49040384924,4.34691222905,-0.00683524999138,0.0514639714707,0.0,482.4056977705541,482.3827023443675,481.79622697795486,481.99593123068325
2.3400000000000016,-1.66684677541,1.99264292387,15.2410473116,0.173967691942,0.172386921121,0.0,-2.39197179889,2.60309197074,4.42168446662,-0.0095022233467,0.0630996690026,0.0,458.64457307518,459.56986870516096,458.37845310592843,458.1665514007879
